sent_time,raw_chat_message,processed_chat_message,cluster_num,x,y
00:00:00.524000,?,?,3,-0.7530915,-0.23361759
00:00:02.794000,"Turkey has lost to all teams, maybe turkey shouldnt focus on valorant LOOOL, Turkish teams are sooooo bad, Lower bracket is only turkish teams 😂😂😂😂","turkey lost teams , maybe shouldnt focus l\1\1l turkish s\1\1 bad lower bracket 😂",8,2.4854805,-0.07407071
00:00:08.314000,???????????,?,3,-0.75309277,-0.2335188
00:00:12.765000,osbir,osbir,7,-0.9483176,-0.7953129
00:00:36.316000,31,31,6,-1.0631362,-0.8080887
00:00:42.508000,sa,sa,3,-1.3640217,-1.7744436
00:00:46.237000,first Kappa,Kappa,3,-0.85740197,-0.3829301
00:00:53.700000,hi,hi,4,-0.66538805,1.1447023
00:00:54.960000,31,31,6,-1.0631362,-0.8080887
00:00:58.689000,Yoo,yoo,4,-1.033841,-0.16060571
00:00:58.779000,yoo did sen lose already,yoo sen lose,8,0.7278531,-0.1754907
00:00:59.185000,THE TURKISH ARE BACK NO,turkish,2,-0.7899152,0.68653095
00:00:59.465000,first O_O,O_O,2,-0.84679055,-0.060436383
00:01:04.694000,ingilziler türkiyyle dalga geçiyor Eyy liquid sen kimsin ya,dalga geçiyor eyy liquid sen kimsin ya,0,0.7752825,-1.6915648
00:01:05.533000,@bardia8607 One time winners eu OMEGALUL,@ time winners eu OMEGALUL,5,1.7277559,-1.0638936
00:01:10.409000,nice,nice,4,-0.34828776,2.3884242
00:01:12.724000,gg,gg,6,-1.0666661,-0.12956852
00:01:13.114000,"Turkey has lost to all teams, maybe turkey shouldnt focus on valorant LOOOL, Turkish teams are sooooo bad, Lower bracket is only turkish teams 😂😂😂😂","turkey lost teams , maybe shouldnt focus l\1\1l turkish s\1\1 bad lower bracket 😂",8,2.4854805,-0.07407404
00:01:13.673000,hello,hello,4,-0.7378127,1.1516497
00:01:14.954000,OYNA,oyna,0,-0.8326545,-0.8825434
00:01:16.888000,rei,rei,3,-0.9147521,-1.1132157
00:01:18.424000,One time winners Eu OMEGALUL One time winners Eu OMEGALUL One time winners Eu OMEGALUL One time winners Eu OMEGALUL One time winners Eu OMEGALUL One time winners Eu OMEGALUL,time winners eu OMEGALUL,8,1.4218954,-0.14492261
00:01:18.992000,@casse93 mods ?,@ mods ?,5,0.6727847,-1.7635947
00:01:21.054000,so toxic,toxic,4,-0.53566206,1.5807824
00:01:27.109000,C9 Pog,c9 Pog,0,0.09860411,0.7758136
00:01:27.387000,@dontt0uchmyrice 28k too late,@ 28k late,5,0.68565947,-0.9838419
00:01:32.899000,gsgs,gsgs,7,-0.9474188,-0.38219157
00:01:34.938000,Be nice  GivePLZ  Don’t be toxic  GivePLZ  Respect both teams  GivePLZ  stop acting like a child  GivePLZ  Be nice  GivePLZ  Don’t be toxic  GivePLZ  Respect both teams  GivePLZ  stop acting like a child Be nice  GivePLZ  Don’t be toxic  GivePLZ  Respect both teams  GivePLZ  stop acting like a child  GivePLZ  Be nice  GivePLZ  Don’t be toxic  GivePLZ  Respect both teams  GivePLZ  stop acting like a child,nice GivePLZ ’ t toxic respect teams stop acting like child,8,2.9189708,0.80457854
00:01:38.034000,@captaincurrytv toxic LUL,@ captaincurrytv toxic LUL,5,0.81729877,-1.6412398
00:01:38.409000,pog,pog,2,-0.91009533,0.53540695
00:01:47.751000,0 viewers KEKW,0 viewers,0,0.2932598,-0.88096166
00:01:47.929000,bdbd,bdbd,7,-0.9519845,-0.41519985
00:01:50.995000,why tenz is not in match?,tenz match ?,0,0.45187643,-0.23262805
00:01:53.335000,One time winners Eu OMEGALUL One time winners Eu OMEGALUL One time winners Eu OMEGALUL One time winners Eu OMEGALUL One time winners Eu OMEGALUL,time winners eu OMEGALUL,8,1.4218954,-0.14492261
00:02:02.073000,0 people watching?,0 people watching ?,8,1.7550485,0.5320323
00:02:06.759000,WAYTOODANK,waytoodank,7,-1.0666478,-0.8591501
00:02:22.887000,:(,:(,3,-0.8540794,-0.21239027
00:02:26.361000,31,31,6,-1.0631362,-0.8080887
00:02:28.448000,hi,hi,4,-0.66538805,1.1447023
00:02:33.903000,@sevenahunters ?,@ ?,5,0.21943434,-1.8090751
00:02:39.104000,sa,sa,3,-1.3640217,-1.7744436
00:02:44.623000,kaç kaç bitti,kaç bitti,0,-0.2963733,-1.9498484
00:02:50.659000,yay go c9,yay c9,8,-0.18714157,0.61466193
00:02:56.676000,31,31,6,-1.0631362,-0.8080887
00:03:04.875000,whyd the casters leave r6 casting,whyd casters leave r6 casting,8,1.1247972,0.19273156
00:03:07.240000,bb,bb,7,-0.8510534,-0.2251142
00:03:09.497000,SirPrise,sirprise,7,-0.9445445,-0.37472346
00:03:11.598000,oxg 2 0 yenildi fut 2 0 yenildi bbl 2 1  yenildi oxg 2 0 yenildi fut 2 0 yenildi bbl 2 1  yenildi,2 0 yenildi fut bbl 1,0,0.92227757,-1.9801712
00:03:12.254000,@rodeyson lose,@ lose,5,0.8199354,-0.33191657
00:03:14.816000,omg i didnt know that he left :D,omg didnt know left :D,8,1.7139084,0.7891535
00:03:15.694000,ACEEEE,ac\1\1,7,-0.9679582,-0.8065881
00:03:19.704000,LETS GOO,lets goo,0,0.12612261,0.3685609
00:03:23.847000,eco hunter,eco hunter,0,-0.19453837,-0.12016091
00:03:25.356000,sheeesh,sh\1\1sh,4,-0.9704108,0.016346008
00:03:26.758000,***,*,3,-0.613697,0.12726241
00:03:35.947000,W,w,9,-0.5897919,0.9605359
00:03:48.705000,w,w,9,-0.5897919,0.9605359
00:04:06.443000,Reyna diff,reyna diff,0,-0.24657056,-0.5166273
00:04:08.900000,what happened to fut vs guild?,happened fut vs guild ?,8,1.2663362,-0.462253
00:04:11.118000,give us drops,drops,1,-0.6571503,1.2234318
00:04:11.812000,Kix and Interro love,kix interro love,8,0.69173175,1.4290975
00:04:20.033000,lol you came see because of the nade,lol came nade,8,0.7835586,1.7111806
00:04:20.519000,eeiu = aceu,eeiu = aceu,0,-0.26781538,-1.10184
00:04:23.487000,Bbc,bbc,2,-0.86270845,0.5361517
00:04:26.887000,BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey,bbt = bye turkey LUL,0,0.6905657,-0.86780995
00:04:28.071000,KIX AND INTERRO,kix interro,4,-0.709812,0.30539978
00:04:32.557000,yarin,yarin,6,-0.96235734,-1.2486854
00:04:44.718000,31,31,6,-1.0631362,-0.8080887
00:04:47.762000,seriously what happened to fut vs guild?,seriously happened fut vs guild ?,8,1.473375,-0.222025
00:04:56.625000,FUT WINN,fut winn,0,-0.4088656,-0.51287115
00:04:58.769000,31,31,6,-1.0631362,-0.8080887
00:05:00.882000,where is relyks?,relyks ?,0,-0.068540856,-0.6419821
00:05:03.291000,fut lost 2-0,fut lost 2-0,8,0.7753571,0.3042737
00:05:07.846000,LUL NRG,LUL nrg,0,-0.31133506,-0.09878882
00:05:09.901000,TeusVult is this live? :p,live ? :p,0,0.48048297,-0.8250601
00:05:10.970000,bruh c9 changed in such a short amount of time,bruh c9 changed short time,8,1.5831591,1.2017895
00:05:17.896000,relyks got dropped,relyks got dropped,8,0.9667166,1.4592704
00:05:18.379000,TeusVult i mean the game*,mean game *,8,1.2024972,1.3067232
00:05:20.069000,@aanilko var,@ var,5,0.23786649,-2.3245354
00:05:21.644000,@alptugtwitch 2-0 win Guild,@ 2-0 win guild,5,1.1822317,-1.2081707
00:05:22.230000,sa,sa,3,-1.3640217,-1.7744436
00:05:26.408000,@cesarbrown370 he got released 😭,@ got released 😭,8,1.6677355,-0.22108698
00:05:26.875000,sa,sa,3,-1.3640217,-1.7744436
00:05:30.105000,@cesarbrown370 Relyks left like a week ago,@ relyks left like week ago,8,2.237032,0.14969067
00:05:35.442000,When’s the new map coming out or is it already out,’ s new map coming,8,2.325915,1.8061148
00:05:37.603000,BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey  LUL  BBT = bye bye turkey,bbt = bye turkey LUL,0,0.6905657,-0.86780995
00:05:39.348000,@tupidoky as,@,7,-0.6393772,-1.377491
00:05:44.704000,beyler bunlar ruslar mi,beyler bunlar ruslar mi,0,0.37747645,-2.9860115
00:05:47.576000,NOOO relyks!,n\1\1 relyks !,0,0.27767444,-0.9649753
00:05:48.214000,Aleyküm Selam,aleyküm selam,0,-0.5421723,-1.2108575
00:05:49.113000,cloud9 woke up good night to everybody alse :D,cloud9 woke good night everybody alse :D,8,1.9760791,0.6995536
00:05:53.956000,i cant watch the steam,watch steam,8,0.7709578,0.93306506
00:05:59.153000,LMAO TURKEY,lmao turkey,8,-0.057949383,1.2446315
00:06:02.314000,0-3,0-3,6,-0.97860605,0.71844226
00:06:04.057000,aleyküm  selam,aleyküm selam,0,-0.5421723,-1.2108575
00:06:07.593000,C9 best!,c9 best !,0,0.72406906,-0.055176202
00:06:09.163000,yazik oldu,yazik oldu,0,-0.53891605,-1.5709513
00:06:14.036000,I miss u old C9,miss u old c9,8,1.6791564,1.3386583
00:06:18.026000,FLOPPY IS THE BEST BTW,floppy best btw,8,0.64423484,0.43546116
00:06:21.511000,FLOPPY FTW,floppy ftw,0,-0.174531,-0.24752171
00:06:27.843000,is this live or a replay???,live replay ?,0,0.5906569,-0.70650375
00:06:28.314000,bruh the commentators sound boring.,bruh commentators sound boring .,8,1.349624,1.0977088
00:06:32.250000,sheesh,sheesh,4,-0.94550025,0.8874473
00:06:40.019000,nice observation,nice observation,8,0.30664042,1.1922368
00:06:40.213000,harbi avel gibi oynuyorlar,harbi avel gibi oynuyorlar,0,-0.22206664,-1.2984135
00:06:41.432000,@teamsolomid4eva bruh you 9 years fpx fans,@ bruh 9 years fpx fans,8,1.7684729,-1.0652841
00:06:42.269000,Is this live ?,live ?,0,0.27493685,-0.6226214
00:06:43.286000,:/,:/,3,-0.80902004,-0.2208007
00:06:43.512000,wait these are siege casters,wait siege casters,8,0.6332315,1.1133157
00:06:48.353000,ySHUT UP F****** GRE3K XD,f * XD,0,0.35473323,-0.2763014
00:06:48.786000,flobbycr?,flobbycr ?,0,-0.1983311,-0.9996488
00:06:51.886000,ggs,ggs,4,-0.9506667,0.96887404
00:06:52.139000,00,00,9,-0.9324002,-1.4124655
00:06:58.968000,kix and interro are siege casters,kix interro siege casters,8,0.13731225,0.036213513
00:07:00.526000,@cesarbrown370 same I miss the og c9 I know noone in the new c9,@ miss og c9 know new,8,1.9316429,-0.066001326
00:07:02.737000,OMEGALUL,OMEGALUL,2,-0.6122395,1.4766288
00:07:03.057000,is that interro and kix?,interro kix ?,0,-0.07081494,-0.50251806
